WKT,id,from_node,to_node,is_one_way,speed_pedestrian,speed_motorcycle,speed_car,is_pedestrian_allowed,is_motorcycle_allowed,is_car_allowed
"LINESTRING (107.633468675858 -6.97209313800926,107.633432801368 -6.97209557699639)",intersection_edge_1,gate_1,intersection_node_1,true,5,20,15,true,true,false
"LINESTRING (107.633432801368 -6.97209557699639,107.633416584133 -6.97205313861849)",intersection_edge_2,intersection_node_1,intersection_node_3,true,5,20,15,true,true,false
"LINESTRING (107.633416584133 -6.97205313861849,107.633465350493 -6.97206075388371)",intersection_edge_3,intersection_node_3,intersection_node_2,true,5,20,15,true,true,false
"LINESTRING (107.633465350493 -6.97206075388371,107.633468675858 -6.97209313800926)",intersection_edge_4,intersection_node_2,gate_1,true,5,20,15,true,true,false
"LINESTRING (107.633380753838 -6.97319824763419,107.63328177502 -6.97315882251886)",intersection_edge_450,gate_2,intersection_node_310,true,5,20,15,true,false,true
"LINESTRING (107.63328177502 -6.97315882251886,107.633248514477 -6.97306355467476)",intersection_edge_451,intersection_node_310,intersection_node_11,true,5,20,15,true,false,true
"LINESTRING (107.633248514477 -6.97306355467476,107.633350601453 -6.97311398926718)",intersection_edge_452,intersection_node_11,intersection_node_311,true,5,20,15,true,false,true
"LINESTRING (107.633350601453 -6.97311398926718,107.633380753838 -6.97319824763419)",intersection_edge_453,intersection_node_311,gate_2,true,5,20,15,true,false,true
"LINESTRING (107.628922519993 -6.97129786609666,107.628917135088 -6.97149303370619)",intersection_edge_9,intersection_node_17,intersection_node_34,false,5,20,15,true,false,false
"LINESTRING (107.628917135088 -6.97149303370619,107.628886600836 -6.97149108145988)",intersection_edge_10,intersection_node_34,street_food,false,5,20,15,true,false,false
"LINESTRING (107.628917135088 -6.97149303370619,107.628914503038 -6.97154136661798)",intersection_edge_11,intersection_node_34,intersection_node_31,false,5,20,15,true,false,false
"LINESTRING (107.628914503038 -6.97154136661798,107.628737960597 -6.9715320678219)",intersection_edge_12,intersection_node_31,focus_fitness,false,5,20,15,true,false,false
"LINESTRING (107.628914503038 -6.97154136661798,107.628910999611 -6.97163492440018)",intersection_edge_13,intersection_node_31,intersection_node_30,false,5,20,15,true,false,false
"LINESTRING (107.628910999611 -6.97163492440018,107.628732140541 -6.97163201035076)",intersection_edge_14,intersection_node_30,sport_centre,false,5,20,15,true,false,false
"LINESTRING (107.628922519993 -6.97129786609666,107.62892369956 -6.97123350019944)",intersection_edge_15,intersection_node_17,intersection_node_19,false,5,20,15,true,false,false
"LINESTRING (107.62892369956 -6.97123350019944,107.628835087058 -6.97122618360184)",intersection_edge_16,intersection_node_19,intersection_node_20,false,5,20,15,true,false,false
"LINESTRING (107.628830942997 -6.96966374242596,107.628194588083 -6.96963726374874)",intersection_edge_124,intersection_node_98,intersection_node_56,false,5,20,15,true,false,false
"LINESTRING (107.628830942997 -6.96966374242596,107.628895079372 -6.96966531858215)",intersection_edge_125,intersection_node_98,intersection_node_35,false,5,20,15,true,false,false
"LINESTRING (107.62884957662 -6.97089644558487,107.628795125764 -6.97089219519738)",intersection_edge_138,intersection_node_99,intersection_node_21,false,5,20,15,true,false,false
"LINESTRING (107.628835087058 -6.97122618360184,107.62884957662 -6.97089644558487)",intersection_edge_127,intersection_node_20,intersection_node_99,false,5,20,15,true,false,false
"LINESTRING (107.62877898153 -6.97122157683418,107.628681441886 -6.97124875723559)",intersection_edge_30,intersection_node_18,intersection_node_67,false,5,20,15,true,false,false
"LINESTRING (107.628583354786 -6.97120624679268,107.62858394634 -6.97124387783491)",intersection_edge_31,intersection_node_39,intersection_node_68,false,5,20,15,true,false,false
"LINESTRING (107.62858394634 -6.97124387783491,107.6285828 -6.9712857)",intersection_edge_32,intersection_node_68,tj_mart,false,5,20,15,true,false,false
"LINESTRING (107.628681441886 -6.97124875723559,107.62858394634 -6.97124387783491)",intersection_edge_33,intersection_node_67,intersection_node_68,false,5,20,15,true,false,false
"LINESTRING (107.62858394634 -6.97124387783491,107.628471703568 -6.97124469106836)",intersection_edge_34,intersection_node_68,barbershop_asrama_putra,false,5,20,15,true,false,false
"LINESTRING (107.628583354786 -6.97120624679268,107.628314661387 -6.97119209330002)",intersection_edge_35,intersection_node_39,intersection_node_40,false,5,20,15,true,true,false
"LINESTRING (107.628314661387 -6.97119209330002,107.6283143 -6.9712806)",intersection_edge_36,intersection_node_40,dormitory_hall,false,5,20,15,true,false,false
"LINESTRING (107.628314661387 -6.97119209330002,107.62815899028 -6.97118841424579)",intersection_edge_38,intersection_node_40,intersection_node_41,false,5,20,15,true,true,false
"LINESTRING (107.628473323905 -6.97087888590222,107.628161273618 -6.97085710705478)",intersection_edge_154,intersection_node_60,intersection_node_105,false,5,20,15,true,true,false
"LINESTRING (107.62815899028 -6.97118841424579,107.627534452627 -6.97116082133817)",intersection_edge_155,intersection_node_41,intersection_node_104,false,5,20,15,true,true,false
"LINESTRING (107.62757244379 -6.97082602726298,107.627534452627 -6.97116082133817)",intersection_edge_156,intersection_node_44,intersection_node_104,false,5,20,15,true,true,false
"LINESTRING (107.62757244379 -6.97082602726298,107.627580845229 -6.97054410921526)",intersection_edge_48,intersection_node_44,intersection_node_48,false,5,20,15,true,true,false
"LINESTRING (107.627580845229 -6.97054410921526,107.627849248703 -6.97055397943071)",intersection_edge_49,intersection_node_48,intersection_node_64,false,5,20,15,true,true,false
"LINESTRING (107.627849248703 -6.97055397943071,107.628173463082 -6.97057761175608)",intersection_edge_50,intersection_node_64,intersection_node_50,false,5,20,15,true,true,false
"LINESTRING (107.627534452627 -6.97116082133817,107.626943858683 -6.97113088054642)",intersection_edge_157,intersection_node_104,intersection_node_45,false,5,20,15,true,true,false
"LINESTRING (107.62757244379 -6.97082602726298,107.627268514487 -6.97083062608431)",intersection_edge_56,intersection_node_44,intersection_node_66,false,5,20,15,true,true,false
"LINESTRING (107.627580845229 -6.97054410921526,107.626990796871 -6.97053166563133)",intersection_edge_58,intersection_node_48,intersection_node_47,false,5,20,15,true,true,false
"LINESTRING (107.62686432453 -6.97112182114736,107.62686432453 -6.97112182114736,107.626943858683 -6.97113088054642)",intersection_edge_411,pengelolaan_kompos_asrama,intersection_node_45,false,5,20,15,true,false,false
"LINESTRING (107.626943858683 -6.97113088054642,107.626979062324 -6.97082933188363)",intersection_edge_412,intersection_node_45,intersection_node_46,false,5,20,15,true,true,false
"LINESTRING (107.628173463082 -6.97057761175608,107.628173463082 -6.97023761941477)",intersection_edge_68,intersection_node_50,intersection_node_52,false,5,20,15,true,true,false
"LINESTRING (107.628173463082 -6.97023761941477,107.628185461213 -6.96993234216281)",intersection_edge_69,intersection_node_52,intersection_node_55,false,5,20,15,true,true,false
"LINESTRING (107.628889428561 -6.96995905430177,107.628804877336 -6.96995449393165)",intersection_edge_139,intersection_node_102,intersection_node_96,false,5,20,15,true,false,false
"LINESTRING (107.628473323905 -6.97087888590222,107.62847531254 -6.97081538865682)",intersection_edge_83,intersection_node_60,asrama_putra_2,false,5,20,15,true,true,false
"LINESTRING (107.628473323905 -6.97087888590222,107.628469754521 -6.97096826521971)",intersection_edge_84,intersection_node_60,asrama_putra_1,false,5,20,15,true,true,false
"LINESTRING (107.6278652814 -6.97021452144448,107.627857346952 -6.97038471196909)",intersection_edge_73,intersection_node_63,asrama_park,false,5,20,15,true,false,false
"LINESTRING (107.627849248703 -6.97055397943071,107.627857346952 -6.97038471196909)",intersection_edge_74,intersection_node_64,asrama_park,false,5,20,15,true,false,false
"LINESTRING (107.627874165021 -6.97078326256269,107.627869886797 -6.97084534231228)",intersection_edge_85,asrama_putra_5,intersection_node_61,false,5,20,15,true,true,false
"LINESTRING (107.627869604422 -6.97093588334027,107.627869886797 -6.97084534231228)",intersection_edge_86,asrama_putra_4,intersection_node_61,false,5,20,15,true,true,false
"LINESTRING (107.627268514487 -6.97083062608431,107.627266772987 -6.97091106793491)",intersection_edge_87,intersection_node_66,asrama_putra_6,false,5,20,15,true,true,false
"LINESTRING (107.627268514487 -6.97083062608431,107.627268452874 -6.97076599806195)",intersection_edge_88,intersection_node_66,asrama_putra_7,false,5,20,15,true,true,false
"LINESTRING (107.627287301004 -6.97020183578202,107.627284970815 -6.97029609452331)",intersection_edge_89,intersection_node_58,asrama_putra_8,false,5,20,15,true,true,false
"LINESTRING (107.628515968817 -6.9702643963729,107.628513372848 -6.97034958919291)",intersection_edge_91,intersection_node_62,asrama_putra_3,false,5,20,15,true,true,false
"LINESTRING (107.6275914753 -6.97019957340671,107.627609062263 -6.96990474695296)",intersection_edge_92,intersection_node_51,intersection_node_53,false,5,20,15,true,true,false
"LINESTRING (107.627893589768 -6.96991664392976,107.627609062263 -6.96990474695296)",intersection_edge_94,intersection_node_57,intersection_node_53,false,5,20,15,true,true,false
"LINESTRING (107.627893589768 -6.96991664392976,107.627890318948 -6.97001621462821)",intersection_edge_95,intersection_node_57,asrama_putra_9,false,5,20,15,true,true,false
"LINESTRING (107.627893979308 -6.96984908235412,107.627893589768 -6.96991664392976)",intersection_edge_96,asrama_putra_10,intersection_node_57,false,5,20,15,true,true,false
"LINESTRING (107.628516740545 -6.96994560238766,107.628517460711 -6.97003438117615)",intersection_edge_98,intersection_node_59,asrama_putra_11,false,5,20,15,true,false,false
"LINESTRING (107.628516740545 -6.96994560238766,107.628517460711 -6.96988420435869)",intersection_edge_99,intersection_node_59,asrama_putra_12,false,5,20,15,true,false,false
"LINESTRING (107.627856648413 -6.9695648345613,107.627852982377 -6.96961655648463)",intersection_edge_120,intersection_node_72,intersection_node_73,false,5,20,15,true,false,false
"LINESTRING (107.628185461213 -6.96993234216281,107.628194588083 -6.96963726374874)",intersection_edge_102,intersection_node_55,intersection_node_56,false,5,20,15,true,true,false
"LINESTRING (107.627852982377 -6.96961655648463,107.628194588083 -6.96963726374874)",intersection_edge_142,intersection_node_73,intersection_node_56,false,5,20,15,true,true,false
"LINESTRING (107.627609062263 -6.96990474695296,107.627628722143 -6.96961267387251)",intersection_edge_121,intersection_node_53,intersection_node_94,false,5,20,15,true,true,false
"LINESTRING (107.627852982377 -6.96961655648463,107.627628722143 -6.96961267387251)",intersection_edge_122,intersection_node_73,intersection_node_94,false,5,20,15,true,true,false
"LINESTRING (107.627575471291 -6.96961659472898,107.627394619411 -6.96976732749136)",intersection_edge_107,intersection_node_54,intersection_node_71,false,5,20,15,true,false,false
"LINESTRING (107.627394619411 -6.96976732749136,107.627454400113 -6.96983432626606)",intersection_edge_108,intersection_node_71,intersection_node_74,false,5,20,15,true,false,false
"LINESTRING (107.627454400113 -6.96983432626606,107.627347494346 -6.96992948440343)",intersection_edge_109,intersection_node_74,kantin_asrama_putra,false,5,20,15,true,false,false
"LINESTRING (107.627459 -6.9700676,107.627347494346 -6.96992948440343)",intersection_edge_110,parkiran_motor_kantin_asrama_putra,kantin_asrama_putra,false,5,20,15,true,false,false
"LINESTRING (107.627347494346 -6.96992948440343,107.62721095709 -6.97004771115326)",intersection_edge_111,kantin_asrama_putra,intersection_node_75,false,5,20,15,true,false,false
"LINESTRING (107.62721095709 -6.97004771115326,107.627168 -6.9699928)",intersection_edge_112,intersection_node_75,mushola_kantin_asrama_putra,false,5,20,15,true,false,false
"LINESTRING (107.628965778266 -6.97163146545313,107.628910999611 -6.97163492440018)",intersection_edge_115,intersection_node_33,intersection_node_30,false,5,20,15,true,false,false
"LINESTRING (107.628966997212 -6.97154193032875,107.628914503038 -6.97154136661798)",intersection_edge_116,intersection_node_32,intersection_node_31,false,5,20,15,true,false,false
"LINESTRING (107.628390652764 -6.96941630942055,107.628455516444 -6.96941518515655)",intersection_edge_117,intersection_node_92,parkiran_mobil_mahasiswa_tult,false,5,20,15,true,true,true
"LINESTRING (107.628532959152 -6.96941630942055,107.628455516444 -6.96941518515655)",intersection_edge_118,intersection_node_93,parkiran_mobil_mahasiswa_tult,false,5,20,15,true,true,true
"LINESTRING (107.628124320704 -6.96920263502236,107.628124299018 -6.96915935899224)",intersection_edge_119,intersection_node_91,tult,false,5,20,15,true,true,false
"LINESTRING (107.627628722143 -6.96961267387251,107.627575471291 -6.96961659472898)",intersection_edge_143,intersection_node_94,intersection_node_54,false,5,20,15,true,false,false
"LINESTRING (107.628880560161 -6.97028260394456,107.62884957662 -6.97089644558487)",intersection_edge_128,intersection_node_100,intersection_node_99,false,5,20,15,true,false,false
"LINESTRING (107.628880560161 -6.97028260394456,107.6288170668 -6.97027633741626)",intersection_edge_129,intersection_node_100,intersection_node_95,false,5,20,15,true,false,false
"LINESTRING (107.628880560161 -6.97028260394456,107.629164196432 -6.97029483458919)",intersection_edge_130,intersection_node_100,lapangan_bola_asrama,false,5,20,15,true,false,false
"LINESTRING (107.628880560161 -6.97028260394456,107.628889428561 -6.96995905430177)",intersection_edge_131,intersection_node_100,intersection_node_102,false,5,20,15,true,false,false
"LINESTRING (107.628804877336 -6.96995449393165,107.628516740545 -6.96994560238766)",intersection_edge_140,intersection_node_96,intersection_node_59,false,5,20,15,true,false,false
"LINESTRING (107.628894683243 -6.96970101194355,107.628895079372 -6.96966531858215)",intersection_edge_134,intersection_node_101,intersection_node_35,false,5,20,15,true,false,false
"LINESTRING (107.628894683243 -6.96970101194355,107.628951095518 -6.96970170598124)",intersection_edge_135,intersection_node_101,mushola_depan_tult,false,5,20,15,true,false,false
"LINESTRING (107.628161273618 -6.97085710705478,107.627869886797 -6.97084534231228)",intersection_edge_144,intersection_node_105,intersection_node_61,false,5,20,15,true,true,false
"LINESTRING (107.628185461213 -6.96993234216281,107.627893589768 -6.96991664392976)",intersection_edge_141,intersection_node_55,intersection_node_57,false,5,20,15,true,false,false
"LINESTRING (107.628161273618 -6.97085710705478,107.62815899028 -6.97118841424579)",intersection_edge_145,intersection_node_105,intersection_node_41,false,5,20,15,true,true,false
"LINESTRING (107.628714031904 -6.97112862961056,107.628689013333 -6.97112954937424)",intersection_edge_147,pos_satpam_asrama_putra,intersection_node_69,false,5,20,15,true,false,false
"LINESTRING (107.628473323905 -6.97087888590222,107.628697495567 -6.97088814470308)",intersection_edge_148,intersection_node_60,intersection_node_109,false,5,20,15,true,false,false
"LINESTRING (107.628835087058 -6.97122618360184,107.62877898153 -6.97122157683418)",intersection_edge_151,intersection_node_20,intersection_node_70,false,5,20,15,true,false,false
"LINESTRING (107.62877898153 -6.97122157683418,107.628583354786 -6.97120624679269)",intersection_edge_153,intersection_node_70,intersection_node_39,false,5,20,15,true,true,false
"LINESTRING (107.628173463082 -6.97057761175608,107.628161273618 -6.97085710705478)",intersection_edge_158,intersection_node_50,intersection_node_105,false,5,20,15,true,true,false
"LINESTRING (107.632567194937 -6.97397199225799,107.632591034413 -6.97400467820938)",intersection_edge_462,intersection_node_312,gate_3,true,5,20,15,true,false,true
"LINESTRING (107.632591034413 -6.97400467820938,107.632567194937 -6.97404112520843)",intersection_edge_463,gate_3,intersection_node_313,true,5,20,15,true,false,true
"LINESTRING (107.631386109554 -6.9739990647477,107.631380135902 -6.97391671358333)",intersection_edge_161,intersection_node_117,harmony_cafe,false,5,20,15,true,false,false
"LINESTRING (107.631852291343 -6.9742437031982,107.631623698947 -6.9742452874638,107.631623698947 -6.9742452874638)",intersection_edge_162,taman_calisthenics_cacuk,intersection_node_118,false,5,20,15,true,false,false
"LINESTRING (107.631852291343 -6.9742437031982,107.632153887087 -6.97446809666067)",intersection_edge_163,taman_calisthenics_cacuk,lapangan_bola_cacuk,false,5,20,15,true,false,false
"LINESTRING (107.631623689358 -6.97446527217273,107.632153887087 -6.97446809666067)",intersection_edge_164,intersection_node_119,lapangan_bola_cacuk,false,5,20,15,true,false,false
"LINESTRING (107.631623689358 -6.97446527217273,107.631445430007 -6.97446501704563)",intersection_edge_165,intersection_node_119,intersection_node_120,false,5,20,15,true,false,false
"LINESTRING (107.631623698947 -6.9742452874638,107.631424392871 -6.97425881249015)",intersection_edge_166,intersection_node_118,intersection_node_121,false,5,20,15,true,false,false
"LINESTRING (107.631445430007 -6.97446501704563,107.631247728059 -6.9743772393807)",intersection_edge_167,intersection_node_120,pemasaran_dan_admisi,false,5,20,15,true,false,false
"LINESTRING (107.631445430007 -6.97446501704563,107.631252151316 -6.97446632213746)",intersection_edge_168,intersection_node_120,intersection_node_122,false,5,20,15,true,false,false
"LINESTRING (107.631424392871 -6.97425881249015,107.631245577211 -6.97426142267496)",intersection_edge_169,intersection_node_121,intersection_node_123,false,5,20,15,true,false,false
"LINESTRING (107.631247728059 -6.9743772393807,107.631247728059 -6.9743772393807,107.631252151316 -6.97446632213746)",intersection_edge_170,pemasaran_dan_admisi,intersection_node_122,false,5,20,15,true,false,false
"LINESTRING (107.631245577211 -6.97426142267496,107.631247728059 -6.9743772393807)",intersection_edge_171,intersection_node_123,pemasaran_dan_admisi,false,5,20,15,true,false,false
"LINESTRING (107.631424392871 -6.97425881249015,107.631247728059 -6.9743772393807)",intersection_edge_172,intersection_node_121,pemasaran_dan_admisi,false,5,20,15,true,false,false
"LINESTRING (107.631252151316 -6.97446632213746,107.631068092887 -6.97446705967851)",intersection_edge_173,intersection_node_122,intersection_node_124,false,5,20,15,true,false,false
"LINESTRING (107.631066979394 -6.97437716851121,107.631066979394 -6.97437716851121,107.631068092887 -6.97446705967851)",intersection_edge_174,graha_wiyata_cacuk_b,intersection_node_124,false,5,20,15,true,false,false
"LINESTRING (107.631066979394 -6.97437716851121,107.63106354972 -6.9742686394554)",intersection_edge_175,graha_wiyata_cacuk_b,intersection_node_125,false,5,20,15,true,false,false
"LINESTRING (107.631245577211 -6.97426142267496,107.63106354972 -6.9742686394554)",intersection_edge_176,intersection_node_123,intersection_node_125,false,5,20,15,true,false,false
"LINESTRING (107.631068092887 -6.97446705967851,107.630832063076 -6.97447552934022)",intersection_edge_177,intersection_node_124,eprt_room,false,5,20,15,true,false,false
"LINESTRING (107.63086084874 -6.97425609126269,107.63086084874 -6.97425609126269,107.63106354972 -6.9742686394554)",intersection_edge_178,lac,intersection_node_125,false,5,20,15,true,false,false
"LINESTRING (107.629091789281 -6.96956347080406,107.629217632143 -6.96957066395356)",intersection_edge_454,intersection_node_248,parkiran_motor_tult,false,5,20,15,true,true,false
"LINESTRING (107.631622330485 -6.9747639601571,107.631432226728 -6.97475382672226)",intersection_edge_180,intersection_node_131,intersection_node_129,false,5,20,15,true,false,false
"LINESTRING (107.631628353832 -6.97497441289327,107.631443244818 -6.9749780260071)",intersection_edge_181,intersection_node_132,intersection_node_130,false,5,20,15,true,false,false
"LINESTRING (107.631443244818 -6.9749780260071,107.631076542995 -6.97498548830328)",intersection_edge_182,intersection_node_130,intersection_node_127,false,5,20,15,true,false,false
"LINESTRING (107.631432226728 -6.97475382672226,107.631073913353 -6.97475318215702)",intersection_edge_183,intersection_node_129,intersection_node_126,false,5,20,15,true,false,false
"LINESTRING (107.631076542995 -6.97498548830328,107.631080784307 -6.97486484441263)",intersection_edge_184,intersection_node_127,graha_wiyata_cacuk_a,false,5,20,15,true,false,false
"LINESTRING (107.631080784307 -6.97486484441263,107.631073913353 -6.97475318215702)",intersection_edge_185,graha_wiyata_cacuk_a,intersection_node_126,false,5,20,15,true,false,false
"LINESTRING (107.631073913353 -6.97475318215702,107.631072598532 -6.97462397812693)",intersection_edge_186,intersection_node_126,intersection_node_128,false,5,20,15,true,false,false
"LINESTRING (107.631072598532 -6.97462397812693,107.631068092887 -6.97446705967851)",intersection_edge_187,intersection_node_128,intersection_node_124,false,5,20,15,true,false,false
"LINESTRING (107.634043481714 -6.97254483495673,107.634043481714 -6.97254483495673,107.633968403072 -6.97248316892884)",intersection_edge_188,bundaran_telu,intersection_node_170,false,5,20,15,true,false,false
"LINESTRING (107.633966526682 -6.97260423224902,107.634043481714 -6.97254483495673)",intersection_edge_189,intersection_node_173,bundaran_telu,false,5,20,15,true,false,false
"LINESTRING (107.634049087824 -6.97264148249509,107.634043481714 -6.97254483495673)",intersection_edge_190,intersection_node_174,bundaran_telu,false,5,20,15,true,false,false
"LINESTRING (107.634139154523 -6.97254649436176,107.634043481714 -6.97254483495673)",intersection_edge_191,intersection_node_172,bundaran_telu,false,5,20,15,true,false,false
"LINESTRING (107.634013436422 -6.97243288107896,107.634043481714 -6.97254483495673)",intersection_edge_192,intersection_node_171,bundaran_telu,false,5,20,15,true,false,false
"LINESTRING (107.633555368672 -6.9731114630524,107.633560105908 -6.97256294382769)",intersection_edge_193,intersection_node_168,intersection_node_177,false,5,20,15,true,false,false
"LINESTRING (107.633560105908 -6.97256294382769,107.633573657757 -6.97216490032647)",intersection_edge_194,intersection_node_177,intersection_node_167,false,5,20,15,true,false,false
